"","Date","value","zone","species","metric","creation_date"
"336","2023-08-15",0.370789773225687,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"337","2023-08-16",0.317596760939003,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"338","2023-08-16",0.368072966043571,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"339","2023-08-17",0.329417546987909,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"340","2023-08-17",0.365205960156192,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"341","2023-08-18",0.333608917027599,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"342","2023-08-18",0.369338970454547,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"343","2023-08-19",0.34821267265352,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"344","2023-08-19",0.377559868493857,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"345","2023-08-20",0.349443853859793,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"346","2023-08-20",0.383289341499294,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"347","2023-08-21",0.357834418101088,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"348","2023-08-21",0.39781159583217,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"349","2023-08-22",0.35711841183758,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
"350","2023-08-22",0.394484555589587,"RAMP zone 4","bluewhale","Probability of presence",2023-11-22
"351","2023-08-23",0.359794616755591,"RAMP zone 3","bluewhale","Probability of presence",2023-11-22
